#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar cov_m_s cov_m_c cov_s_c set ra dec biascor 
0 0.013000 0.013000 0.000000 14.411050 0.002967 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0.019200 0.019200 0.000000 15.267871 0.003300 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0.025800 0.025800 0.000000 15.920040 0.004500 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0.032300 0.032300 0.000000 16.418270 0.006933 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0.039700 0.039700 0.000000 16.877834 0.008933 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 0.049500 0.049500 0.000000 17.372107 0.009833 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.055700 0.055700 0.000000 17.637861 0.004733 0 0 0 0 0 0 0 0 0 0 0 0 0 
7 0.063500 0.063500 0.000000 17.934288 0.004433 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 0.071800 0.071800 0.000000 18.213488 0.003567 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 0.080200 0.080200 0.000000 18.466181 0.003467 0 0 0 0 0 0 0 0 0 0 0 0 0 
10 0.089400 0.089400 0.000000 18.715454 0.002900 0 0 0 0 0 0 0 0 0 0 0 0 0 
11 0.098800 0.098800 0.000000 18.946117 0.007100 0 0 0 0 0 0 0 0 0 0 0 0 0 
12 0.108000 0.108000 0.000000 19.152553 0.006400 0 0 0 0 0 0 0 0 0 0 0 0 0 
13 0.118300 0.118300 0.000000 19.364823 0.005800 0 0 0 0 0 0 0 0 0 0 0 0 0 
14 0.129100 0.129100 0.000000 19.569472 0.005100 0 0 0 0 0 0 0 0 0 0 0 0 0 
15 0.140400 0.140400 0.000000 19.767067 0.004500 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 0.152000 0.152000 0.000000 19.954996 0.004200 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 0.164600 0.164600 0.000000 20.144530 0.003400 0 0 0 0 0 0 0 0 0 0 0 0 0 
18 0.177600 0.177600 0.000000 20.326424 0.003100 0 0 0 0 0 0 0 0 0 0 0 0 0 
19 0.191500 0.191500 0.000000 20.507713 0.002900 0 0 0 0 0 0 0 0 0 0 0 0 0 
20 0.206100 0.206100 0.000000 20.685449 0.002600 0 0 0 0 0 0 0 0 0 0 0 0 0 
21 0.221900 0.221900 0.000000 20.865126 0.002500 0 0 0 0 0 0 0 0 0 0 0 0 0 
22 0.238500 0.238500 0.000000 21.041598 0.002300 0 0 0 0 0 0 0 0 0 0 0 0 0 
23 0.256500 0.256500 0.000000 21.220586 0.002100 0 0 0 0 0 0 0 0 0 0 0 0 0 
24 0.275900 0.275900 0.000000 21.400976 0.002000 0 0 0 0 0 0 0 0 0 0 0 0 0 
25 0.297100 0.297100 0.000000 21.585207 0.001900 0 0 0 0 0 0 0 0 0 0 0 0 0 
26 0.319500 0.319500 0.000000 21.767155 0.001800 0 0 0 0 0 0 0 0 0 0 0 0 0 
27 0.344700 0.344700 0.000000 21.958303 0.001800 0 0 0 0 0 0 0 0 0 0 0 0 0 
28 0.372100 0.372100 0.000000 22.152040 0.001700 0 0 0 0 0 0 0 0 0 0 0 0 0 
29 0.402500 0.402500 0.000000 22.352141 0.001700 0 0 0 0 0 0 0 0 0 0 0 0 0 
30 0.436700 0.436700 0.000000 22.561181 0.001800 0 0 0 0 0 0 0 0 0 0 0 0 0 
31 0.475400 0.475400 0.000000 22.780139 0.001800 0 0 0 0 0 0 0 0 0 0 0 0 0 
32 0.520300 0.520300 0.000000 23.014261 0.002000 0 0 0 0 0 0 0 0 0 0 0 0 0 
33 0.572000 0.572000 0.000000 23.261470 0.002300 0 0 0 0 0 0 0 0 0 0 0 0 0 
34 0.635600 0.635600 0.000000 23.538194 0.002600 0 0 0 0 0 0 0 0 0 0 0 0 0 
35 0.712000 0.712000 0.000000 23.837779 0.002900 0 0 0 0 0 0 0 0 0 0 0 0 0 
36 0.818700 0.818700 0.000000 24.208275 0.003100 0 0 0 0 0 0 0 0 0 0 0 0 0 
37 0.953700 0.953700 0.000000 24.615029 0.003300 0 0 0 0 0 0 0 0 0 0 0 0 0 
38 1.116200 1.116200 0.000000 25.035432 0.006300 0 0 0 0 0 0 0 0 0 0 0 0 0 
39 1.368400 1.368400 0.000000 25.579982 0.328600 0 0 0 0 0 0 0 0 0 0 0 0 0 
