#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar cov_m_s cov_m_c cov_s_c set ra dec biascor 
0 0.013000 0.013000 0.000000 14.411050 0.008800 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0.019200 0.019200 0.000000 15.267871 0.009700 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0.025800 0.025800 0.000000 15.920040 0.012900 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0.032300 0.032300 0.000000 16.418270 0.019700 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 0.039700 0.039700 0.000000 16.877834 0.025400 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 0.048500 0.048500 0.000000 17.326249 0.044400 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.054600 0.054600 0.000000 17.592868 0.043700 0 0 0 0 0 0 0 0 0 0 0 0 0 
7 0.067300 0.067300 0.000000 18.066212 0.090600 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 0.068000 0.068000 0.000000 18.089730 0.118400 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 0.112800 0.112800 0.000000 19.253747 0.091000 0 0 0 0 0 0 0 0 0 0 0 0 0 
10 0.113300 0.113300 0.000000 19.264054 0.081900 0 0 0 0 0 0 0 0 0 0 0 0 0 
11 0.126800 0.126800 0.000000 19.527274 0.083700 0 0 0 0 0 0 0 0 0 0 0 0 0 
12 0.139300 0.139300 0.000000 19.748500 0.058900 0 0 0 0 0 0 0 0 0 0 0 0 0 
13 0.166700 0.166700 0.000000 20.174798 0.057700 0 0 0 0 0 0 0 0 0 0 0 0 0 
14 0.181400 0.181400 0.000000 20.377257 0.044900 0 0 0 0 0 0 0 0 0 0 0 0 0 
15 0.197800 0.197800 0.000000 20.585895 0.057000 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 0.207900 0.207900 0.000000 20.706549 0.035300 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 0.220700 0.220700 0.000000 20.851902 0.030700 0 0 0 0 0 0 0 0 0 0 0 0 0 
18 0.238200 0.238200 0.000000 21.038511 0.025200 0 0 0 0 0 0 0 0 0 0 0 0 0 
19 0.259200 0.259200 0.000000 21.246430 0.022200 0 0 0 0 0 0 0 0 0 0 0 0 0 
20 0.277300 0.277300 0.000000 21.413537 0.033000 0 0 0 0 0 0 0 0 0 0 0 0 0 
21 0.295700 0.295700 0.000000 21.573420 0.027000 0 0 0 0 0 0 0 0 0 0 0 0 0 
22 0.319000 0.319000 0.000000 21.763223 0.022800 0 0 0 0 0 0 0 0 0 0 0 0 0 
23 0.343100 0.343100 0.000000 21.946556 0.023200 0 0 0 0 0 0 0 0 0 0 0 0 0 
24 0.372900 0.372900 0.000000 22.157496 0.014300 0 0 0 0 0 0 0 0 0 0 0 0 0 
25 0.405100 0.405100 0.000000 22.368600 0.015600 0 0 0 0 0 0 0 0 0 0 0 0 0 
26 0.436400 0.436400 0.000000 22.559414 0.015200 0 0 0 0 0 0 0 0 0 0 0 0 0 
27 0.474200 0.474200 0.000000 22.773602 0.011600 0 0 0 0 0 0 0 0 0 0 0 0 0 
28 0.524300 0.524300 0.000000 23.034192 0.010900 0 0 0 0 0 0 0 0 0 0 0 0 0 
29 0.574700 0.574700 0.000000 23.273795 0.011100 0 0 0 0 0 0 0 0 0 0 0 0 0 
30 0.641300 0.641300 0.000000 23.561698 0.009800 0 0 0 0 0 0 0 0 0 0 0 0 0 
31 0.710500 0.710500 0.000000 23.832199 0.009500 0 0 0 0 0 0 0 0 0 0 0 0 0 
32 0.816700 0.816700 0.000000 24.201770 0.009400 0 0 0 0 0 0 0 0 0 0 0 0 0 
33 0.962200 0.962200 0.000000 24.638717 0.010700 0 0 0 0 0 0 0 0 0 0 0 0 0 
34 1.118100 1.118100 0.000000 25.039979 0.019400 0 0 0 0 0 0 0 0 0 0 0 0 0 
